list,word,definition,example
List 17-18,Cacophony,"A harsh, unpleasant mixture of sounds.",The student reviewed cacophony carefully during SSAT vocabulary practice.
List 17-18,Cadence,"The rhythm or flow of sound, speech, or music.",The student reviewed cadence carefully during SSAT vocabulary practice.
List 17-18,Cajole,To persuade someone with flattery or gentle urging.,The student reviewed cajole carefully during SSAT vocabulary practice.
List 17-18,Callow,"Young, inexperienced, or immature.",The student reviewed callow carefully during SSAT vocabulary practice.
List 17-18,Candor,"Honesty, openness, and sincerity.",The student reviewed candor carefully during SSAT vocabulary practice.
List 17-18,Capitalism,An economic system based on private ownership and competition.,The student reviewed capitalism carefully during SSAT vocabulary practice.
List 17-18,Capitulate,To surrender or give in after resisting.,The student reviewed capitulate carefully during SSAT vocabulary practice.
List 17-18,Capricious,Changing suddenly and unpredictably.,The student reviewed capricious carefully during SSAT vocabulary practice.
List 17-18,Caricature,"An exaggerated portrayal, often for comic effect.",The student reviewed caricature carefully during SSAT vocabulary practice.
List 17-18,Castigate,To criticize or punish severely.,The student reviewed castigate carefully during SSAT vocabulary practice.
List 17-18,Catalyst,Something that causes or speeds up change.,The student reviewed catalyst carefully during SSAT vocabulary practice.
List 17-18,Categorical,"Absolute, direct, or without exceptions.",The student reviewed categorical carefully during SSAT vocabulary practice.
List 17-18,Catharsis,Emotional release or purification.,The student reviewed catharsis carefully during SSAT vocabulary practice.
List 17-18,Catholic,"Broad, universal, or wide-ranging.",The student reviewed catholic carefully during SSAT vocabulary practice.
List 17-18,Caustic,"Harsh, biting, or sarcastic.",The student reviewed caustic carefully during SSAT vocabulary practice.
List 17-18,Celibacy,The state of not marrying or abstaining from sexual relations.,The student reviewed celibacy carefully during SSAT vocabulary practice.
List 17-18,Censure,Strong criticism or official disapproval.,The student reviewed censure carefully during SSAT vocabulary practice.
List 17-18,Cerebral,Intellectual or related to the brain.,The student reviewed cerebral carefully during SSAT vocabulary practice.
List 17-18,Chagrin,"Embarrassment, disappointment, or annoyance.",The student reviewed chagrin carefully during SSAT vocabulary practice.
List 17-18,Charisma,A special charm or appeal that inspires others.,The student reviewed charisma carefully during SSAT vocabulary practice.
Set 11,archetype,A typical example or model.,The student reviewed archetype carefully during SSAT vocabulary practice.
Set 11,ardent,Passionate or enthusiastic.,The student reviewed ardent carefully during SSAT vocabulary practice.
Set 11,arduous,Difficult and requiring great effort.,The student reviewed arduous carefully during SSAT vocabulary practice.
Set 11,aristocratic,Relating to nobility or a high social class.,The student reviewed aristocratic carefully during SSAT vocabulary practice.
Set 11,artful,"Clever or skillful, sometimes in a deceptive way.",The student reviewed artful carefully during SSAT vocabulary practice.
Set 11,artifice,Deception or trickery.,The student reviewed artifice carefully during SSAT vocabulary practice.
Set 11,ascendancy,Dominance or controlling influence.,The student reviewed ascendancy carefully during SSAT vocabulary practice.
Set 11,ascetic,Practicing strict self-denial.,The student reviewed ascetic carefully during SSAT vocabulary practice.
Set 11,assiduous,Hardworking and persistent.,The student reviewed assiduous carefully during SSAT vocabulary practice.
Set 11,assimilate,To absorb or integrate into a group or culture.,The student reviewed assimilate carefully during SSAT vocabulary practice.
Set 11,assuage,To relieve or make less severe.,The student reviewed assuage carefully during SSAT vocabulary practice.
Set 11,astute,Shrewd and perceptive.,The student reviewed astute carefully during SSAT vocabulary practice.
Set 11,attrition,Gradual weakening or reduction.,The student reviewed attrition carefully during SSAT vocabulary practice.
Set 11,audacity,Boldness or daring.,The student reviewed audacity carefully during SSAT vocabulary practice.
Set 11,augment,To increase or add to.,The student reviewed augment carefully during SSAT vocabulary practice.
Set 11,auspicious,Favorable or promising.,The student reviewed auspicious carefully during SSAT vocabulary practice.
Set 11,austere,"Simple, plain, and strict.",The student reviewed austere carefully during SSAT vocabulary practice.
Set 11,autocratic,Ruling with absolute power.,The student reviewed autocratic carefully during SSAT vocabulary practice.
Set 11,autonomous,Self-governing or independent.,The student reviewed autonomous carefully during SSAT vocabulary practice.
Set 11,avarice,Extreme greed.,The student reviewed avarice carefully during SSAT vocabulary practice.
Set 11,avow,To declare openly.,The student reviewed avow carefully during SSAT vocabulary practice.
Set 11,avuncular,"Friendly and kind, like an uncle.",The student reviewed avuncular carefully during SSAT vocabulary practice.
Set 11,awry,Going wrong or not as planned.,The student reviewed awry carefully during SSAT vocabulary practice.
Set 11,axiom,A self-evident truth.,The student reviewed axiom carefully during SSAT vocabulary practice.
List 19-21,Charlatan,A fake expert; a fraud who pretends to have special knowledge.,The student reviewed charlatan carefully during SSAT vocabulary practice.
List 19-21,Chasm,A deep gap; a huge difference between people or ideas.,The student reviewed chasm carefully during SSAT vocabulary practice.
List 19-21,Chastise,To scold or criticize severely.,The student reviewed chastise carefully during SSAT vocabulary practice.
List 19-21,Chicanery,"Trickery or dishonest behavior, especially in politics or business.",The student reviewed chicanery carefully during SSAT vocabulary practice.
List 19-21,Chimera,An unrealistic dream or illusion.,The student reviewed chimera carefully during SSAT vocabulary practice.
List 19-21,Choleric,Bad-tempered; easily angered.,The student reviewed choleric carefully during SSAT vocabulary practice.
List 19-21,Chronic,Continuing for a long time; constantly recurring.,The student reviewed chronic carefully during SSAT vocabulary practice.
List 19-21,Chronicle,A record of events in order; to record events.,The student reviewed chronicle carefully during SSAT vocabulary practice.
List 19-21,Circuitous,Indirect; not straight or direct.,The student reviewed circuitous carefully during SSAT vocabulary practice.
List 19-21,Circumlocution,Using too many words to avoid saying something directly.,The student reviewed circumlocution carefully during SSAT vocabulary practice.
List 19-21,Circumscribe,"To limit, restrict, or draw a boundary around something.",The student reviewed circumscribe carefully during SSAT vocabulary practice.
List 19-21,Circumspect,Careful and cautious before acting.,The student reviewed circumspect carefully during SSAT vocabulary practice.
List 19-21,Circumvent,"To avoid or get around a rule, obstacle, or difficulty.",The student reviewed circumvent carefully during SSAT vocabulary practice.
List 19-21,Civil,Polite; related to citizens or society.,The student reviewed civil carefully during SSAT vocabulary practice.
List 19-21,Clemency,"Mercy or leniency, especially in punishment.",The student reviewed clemency carefully during SSAT vocabulary practice.
List 19-21,Cliché,An overused phrase or idea.,The student reviewed cliché carefully during SSAT vocabulary practice.
List 19-21,Clique,A small exclusive group that keeps others out.,The student reviewed clique carefully during SSAT vocabulary practice.
List 22-23,Coalesce,To come together and form one whole.,The student reviewed coalesce carefully during SSAT vocabulary practice.
List 22-23,Coerce,To force someone to do something by pressure or threats.,The student reviewed coerce carefully during SSAT vocabulary practice.
List 22-23,Cogent,"Clear, logical, and convincing.",The student reviewed cogent carefully during SSAT vocabulary practice.
List 22-23,Cognitive,"Related to thinking, learning, memory, or understanding.",The student reviewed cognitive carefully during SSAT vocabulary practice.
List 22-23,Cognizant,Aware of something; having knowledge of it.,The student reviewed cognizant carefully during SSAT vocabulary practice.
List 22-23,Coherent,"Logical, consistent, and easy to understand.",The student reviewed coherent carefully during SSAT vocabulary practice.
List 22-23,Colloquial,Informal and conversational in language.,The student reviewed colloquial carefully during SSAT vocabulary practice.
List 22-23,Collusion,Secret cooperation for a dishonest or illegal purpose.,The student reviewed collusion carefully during SSAT vocabulary practice.
List 22-23,Commensurate,"Equal or corresponding in size, degree, or importance.",The student reviewed commensurate carefully during SSAT vocabulary practice.
List 22-23,Compelling,Powerfully convincing or strongly attracting attention.,The student reviewed compelling carefully during SSAT vocabulary practice.
List 22-23,Compendium,A concise collection of information on a subject.,The student reviewed compendium carefully during SSAT vocabulary practice.
List 22-23,Complacent,"Too self-satisfied to notice danger, weakness, or the need to improve.",The student reviewed complacent carefully during SSAT vocabulary practice.
List 22-23,Complement,Something that completes or improves another thing; to complete or improve.,The student reviewed complement carefully during SSAT vocabulary practice.
List 22-23,Complicity,Involvement with others in wrongdoing.,The student reviewed complicity carefully during SSAT vocabulary practice.
List 22-23,Comprehensive,Complete and thorough; covering all or nearly all parts.,The student reviewed comprehensive carefully during SSAT vocabulary practice.
List 22-23,Comprise,To consist of or include.,The student reviewed comprise carefully during SSAT vocabulary practice.
List 22-23,Conciliatory,Intended to reduce anger and make peace.,The student reviewed conciliatory carefully during SSAT vocabulary practice.
List 22-23,Concise,"Brief, clear, and expressed without unnecessary words.",The student reviewed concise carefully during SSAT vocabulary practice.
List 24-25,Concord,"Harmony, agreement, or peaceful relations.",The student reviewed concord carefully during SSAT vocabulary practice.
List 24-25,Concurrent,Happening at the same time.,The student reviewed concurrent carefully during SSAT vocabulary practice.
List 24-25,Condescend,To act as if one is superior; to lower oneself to do something.,The student reviewed condescend carefully during SSAT vocabulary practice.
List 24-25,Condone,"To overlook, excuse, or appear to approve wrongdoing.",The student reviewed condone carefully during SSAT vocabulary practice.
List 24-25,Conducive,Helpful; making a result more likely.,The student reviewed conducive carefully during SSAT vocabulary practice.
List 24-25,Confluence,"A coming together; a meeting point, especially of rivers or ideas.",The student reviewed confluence carefully during SSAT vocabulary practice.
List 24-25,Congenial,"Pleasant, friendly, or well suited to one's nature.",The student reviewed congenial carefully during SSAT vocabulary practice.
List 24-25,Congenital,Present from birth.,The student reviewed congenital carefully during SSAT vocabulary practice.
List 24-25,Congregate,To gather together in a group.,The student reviewed congregate carefully during SSAT vocabulary practice.
List 24-25,Conjecture,A guess based on incomplete evidence; to make such a guess.,The student reviewed conjecture carefully during SSAT vocabulary practice.
List 24-25,Conjure,"To summon, imagine, or make something appear as if by magic.",The student reviewed conjure carefully during SSAT vocabulary practice.
